Champion,Games played,Win Rate,Pick Rate,Ban Rate
Viego,"1,144",51.75%,12.78%,7.23%
Lee Sin,"1,104",49.37%,12.34%,10.22%
Master Yi,970,50.21%,10.84%,18.63%
Kha'Zix,896,53.91%,10.01%,11.56%
Kayn,870,51.26%,9.72%,6.67%
Nocturne,836,50.6%,9.34%,23.28%
Rengar,735,48.44%,8.21%,15.35%
Graves,651,52.07%,7.27%,3.17%
Briar,638,51.41%,7.13%,29.73%
Xin Zhao,550,52%,6.15%,2.46%
Lillia,545,54.68%,6.09%,3.97%
Shaco,517,46.23%,5.78%,17.26%
Udyr,413,52.78%,4.61%,5.51%
Vi,407,50.86%,4.55%,0.73%
Hecarim,383,42.56%,4.28%,3.12%
Jarvan IV,371,46.09%,4.15%,2.07%
Nunu & Willump,366,51.09%,4.09%,0.88%
Evelynn,365,52.05%,4.08%,9.2%
Kindred,357,48.74%,3.99%,1.26%
Jax,354,56.5%,3.96%,18.88%
Bel'Veth,332,55.42%,3.71%,3.6%
Warwick,311,50.8%,3.47%,1.39%
Diana,283,48.76%,3.16%,0.88%
Ekko,282,46.45%,3.15%,1.77%
Brand,266,51.88%,2.97%,5.3%
Rammus,251,46.22%,2.8%,7.61%
Fiddlesticks,249,50.2%,2.78%,2.18%
Sejuani,184,44.57%,2.06%,0.38%
Zac,182,51.65%,2.03%,0.88%
Amumu,170,56.47%,1.9%,0.53%
Trundle,168,45.83%,1.88%,26.69%
Maokai,154,50%,1.72%,0.89%
Sylas,152,45.39%,1.7%,7.69%
Zed,150,39.33%,1.68%,34.69%
Poppy,138,39.13%,1.54%,1.66%
Elise,133,49.62%,1.49%,0.38%
Shyvana,131,48.09%,1.46%,0.25%
Wukong,131,43.51%,1.46%,0.54%
Karthus,127,46.46%,1.42%,0.64%
Nidalee,118,45.76%,1.32%,0.2%
Ivern,115,48.7%,1.28%,0.68%
Gragas,115,47.83%,1.28%,0.83%
Teemo,96,48.96%,1.07%,15.2%
Mordekaiser,94,53.19%,1.05%,11.39%
Rek'Sai,86,43.02%,0.96%,0.47%
Talon,77,49.35%,0.86%,1.15%
Taliyah,65,46.15%,0.73%,0.2%
Volibear,63,46.03%,0.7%,1.31%
Rell,58,48.28%,0.65%,1.59%
Tryndamere,53,54.72%,0.59%,1.68%
Gwen,49,53.06%,0.55%,2.74%
Pantheon,47,59.57%,0.53%,6.21%
Skarner,40,45%,0.45%,0.2%
Rumble,33,51.52%,0.37%,1.66%
Naafiri,33,48.48%,0.4%,2.81%
Malphite,33,42.42%,0.37%,4.97%
Nasus,31,38.71%,0.35%,5.36%
Morgana,25,64%,0.28%,29.25%
Yorick,25,64%,0.3%,5.91%
Garen,24,29.17%,0.27%,1.06%
Riven,23,39.13%,0.28%,3.56%
Darius,23,39.13%,0.26%,10.54%
Twitch,21,42.86%,0.25%,3.16%
Qiyana,20,40%,0.24%,0.73%
Cho'Gath,18,55.56%,0.2%,1.04%
Yone,15,60%,0.18%,21.5%
Sion,15,40%,0.18%,2.64%
Singed,14,50%,0.16%,1.42%
Dr. Mundo,13,53.85%,0.15%,1.59%
Neeko,12,75%,0.13%,3.56%
Zyra,12,50%,0.13%,4.27%
Aatrox,11,45.45%,0.12%,22.88%
Quinn,11,27.27%,0.13%,1.49%
Yasuo,11,0%,0.12%,18.1%
Camille,10,50%,0.11%,1.34%
Sett,10,40%,0.12%,1.87%
Olaf,9,44.44%,0.11%,1.02%
Taric,8,87.5%,0.1%,0.18%
Katarina,7,71.43%,0.08%,14.29%
Shen,7,42.86%,0.08%,0.38%
Fizz,6,50%,0.07%,19.83%
Jayce,5,40%,0.06%,1.35%
Kayle,5,20%,0.06%,1.59%
Leona,4,75%,0.04%,3.46%
Kai'Sa,4,50%,0.05%,2.92%
Twisted Fate,4,25%,0.05%,2.34%
Yuumi,4,25%,0.05%,3.6%
Galio,4,0%,0.05%,1.2%
Malzahar,3,66.67%,0.04%,4.22%
Nautilus,3,33.33%,0.03%,12.75%
Tristana,3,0%,0.03%,1.25%
Urgot,2,100%,0.02%,0.58%
Irelia,2,50%,0.02%,9.99%
Blitzcrank,2,50%,0.02%,23.73%
Vayne,2,50%,0.02%,9.93%
Aurelion Sol,2,50%,0.02%,0.92%
Vex,2,50%,0.02%,2.69%
Heimerdinger,2,0%,0.02%,0.44%
Samira,2,0%,0.02%,28.08%
LeBlanc,1,100%,0.01%,12.25%
Kennen,1,100%,0.01%,0.68%
Zeri,1,100%,0.01%,0.9%
Tahm Kench,1,100%,0.01%,2.09%
Annie,1,0%,0.01%,0.72%
Alistar,1,0%,0.01%,1.98%
Sivir,1,0%,0.01%,0.53%
Miss Fortune,1,0%,0.01%,5.58%
Gangplank,1,0%,0.01%,3.01%
Caitlyn,1,0%,0.01%,15.75%
Renekton,1,0%,0.01%,2.66%
Ezreal,1,0%,0.01%,1.95%
Lulu,1,0%,0.01%,2.66%
Syndra,1,0%,0.01%,4.95%
Gnar,1,0%,0.01%,0.23%
Jinx,1,0%,0.01%,0.68%
Lucian,1,0%,0.01%,5.02%
Thresh,1,0%,0.01%,6.77%
Pyke,1,0%,0.01%,11.25%
Nilah,1,0%,0.01%,3.48%
K'Sante,1,0%,0.01%,5.91%
Hwei,1,0%,0.01%,24.97%
Rakan,1,0%,0.14%,0.85%
